Id no.;Verbal image (EN);Verbal image + co-text (EN);Verbal image (orig. if not EN);Author;Text;Genre;Line(s);Noted by;Full comment;Sense(s) elicited;Perception flag (PF);Metaphor;Deixis;Foregrounding (position);Foregrounding (devices);Size (syllables);Size (words);Size (characters, no spaces);No of lines;IMAG rate of Head (approximated);IMAG rate of Head (precise);Thematic core
020;driving my many selves from cave to cave;This is me, anonymous, water’s soliloquy, / all names, all voices, Slip-Shape, this is Proteus, / whoever that is, the shepherd of the seals, / [driving my many selves from cave to cave];;Oswald, Alice;Dart;Poetry;;Drangsholt (2011: 175);With the image of the river driving its multiple selfhood ‘from cave to cave’, time becomes space in the sense that the temporalities of past, present and future are recognized to be equally relevant.;visual;;" SELVES ARE OBJECTS; RIVER IS PERSON"; (my); (text-final);;10;8;33;1;6,4;6,382;W3
021;the wide arcades where time has slightly bent the flared and pink surfaces…. A soft and malleable matter;in front of us [the wide arcades where time has slightly bent the flared and pink surfaces…. A soft and malleable matter] ;devant nous [les larges arcades dont le temps a légèrement infléchi les surfaces évasées et roses . . . une matière douce et malléable] ;Proust, Marcel;À La Recherce du Temps Perdu;Prose (Fiction);;Tribout-Joseph (2012: 22);After the narrator has just told us that he has been working on Ruskin, we find the following image of the pink marble edifice: ‘devant nous les larges arcades dont le temps a légèrement infléchi les surfaces évasées et roses . . . une matière douce et malléable (RTP, IV: 224).;"visual; haptic";PF (in front of us);; (the);;;;22;100;;6,5;6,486;H1
022;an incandescent curve / licked by chromatic flames / in labyrinths of reflections;"[an incandescent curve / licked by chromatic flames /
in labyrinths of reflections ] // This gong / of polished hyperaesthesia / shrills with brass / as the aggressive light / strikes / its significance";; Loy, Mina;Brancusi's Golden Bird;Poetry;22-24;Lazevnick (2013: 199);The poem, as an image, absorbs the energy of the sculpture and guides the reader with a series of dizzying images and sounds (‘‘an incandescent curve,’’ ‘‘This gong,’’ ‘‘aggressive light,’’ etc.);"visual; haptic";; FLAMES ARE TOGUES;;;;20;11;67;3;6,8;6,824;O4.4
023;the aggressive light / strikes;"an incandescent curve / licked by chromatic flames /
in labyrinths of reflections // This gong / of polished hyperaesthesia / shrills with brass / as [the aggressive light / strikes] / its significance";; Loy, Mina;Brancusi's Golden Bird;Poetry;29;Lazevnick (2013: 199);The poem, as an image, absorbs the energy of the sculpture and guides the reader with a series of dizzying images and sounds (‘‘an incandescent curve,’’ ‘‘This gong,’’ ‘‘aggressive light,’’ etc.);"visual; haptic";;LIGHT IS WEAPON; (the);;;5;4;25;2;6,2;6,161;O4.3
024;David was reading with his shoulders and the small of his back against two pillows and another folded behind his head;The breeze from the sea was blowing through the room and [David was reading with his shoulders and the small of his back against two pillows and another folded behind his head];;Hemingway, Ernest;The Garden of Eden;Prose (Fiction);;Kuzmicova (2013: 29-30);"Suppose the hypothetical reader of these two lines focuses, as most readers usually do, on the one human character present on the scene. The reader- imager may then easily form a referential image of David as conjured from within: enacting David’s familiar body posture; experiencing the breeze and the pressure of pillows against his back and head, a quick view of the pages in David’s book, perhaps even a glance of the indistinct furnishings of a room. Alternatively, one may form an image of the scene as conjured from without: visualizing a sketchy male figure half-sitting on a sofa or bed, a book in his hands, a pillow behind his head (the ones behind David’s back are likely occluded unless he is visualized from the side rather than en face). Obviously, these two images, albeit equally referential, yield qualitatively very different experiences. ";"visual; haptic";;; (his);;;;21;97;;6,6;6,629;S2
025;bones /  out of my carriage window;"This Tuesday I saw [bones /  
out of my carriage window]";;Boland, Evan;The famine road;Poetry;34-35;McLoughlin (2013: 224);The image of the ‘bones’ (line 34) seen by Jones through his carriage window is both a memento mori and an image of absence of life and absence of flesh, which echoes the dying man of stanza five, in effect showing his negation.;visual;PF (saw);; (my);;;8;6;26;2;6,7;6,686;B1
026;her scrubbed and sour humble hands / Lie with religion in their cramp;"I know [her scrubbed and sour humble hands / Lie with religion in their cramp], her threadbare / Whisper in a damp word, her wits drilled hollow, / Her fist of a face died clenched on a round pain; / And sculptured Ann is seventy years of stone. ";;Thomas, Dylan;After the funeral;Poetry;31-32;Päivärinta (2014: 142);The previous lines describe Ann’s hands as ‘sour’, ‘humble’ and ‘cramped’ due to religion. Transferring the image of hands being cramped as a result of praying, and humble and sour possibly due to hard labour as well as due to Christian humility, onto the ‘fist of a face’ that is ‘clenched on a round pain’ combines multiple senses of being ‘cramped’: a life of working hard and simply accepting one’s share.;"visual; haptic; gustatory";PF (know);HANDS ARE BODIES; (her);; (list of three);15;12;56;2;6,9;6,912;B1
027;horizontal States grow vertical,/ From Plymouth Harbor to the Golden Gate, / Till wedged against skyscapes empyreal / Their glories elbowed the decrees of fate.;I saw [horizontal States grow vertical,/ From Plymouth Harbor to the Golden Gate, / Till wedged against skyscapes empyreal / Their glories elbowed the decrees of fate].;; Tolson, Melvin;The Unknown Soldier;Poetry;19-22;Krammer (2016: 120) ;in stanza four, the speaker creates a similar image to the harsh mountain landscape of “The Mountain Climber”: “I saw horizontal States grow vertical,/ From Plymouth Harbor to the Golden Gate,/ Till wedged against skyscapes empyreal/ Their glories elbowed the decrees of fate.''. Like the image of the mountains, the states are depicted here as grossly unequal skyscrapers, compacting the democratic “horizontal” ideals of the many into the privileged “vertical” opportunities of the few—and throughout the rest of the poem, ignoring the achievements of African Americans.;visual;PF (saw);STATES ARE TOWERS;no;;;38;23;133;4;6,7;6,688;O4.4
028;In an ebony coffin / Ornamented with polished African ivory, / With the figures of two African witch doctors/ At her head/ And two at her feet.;;; Tolson, Melvin;Miss Felicia Babock;Poetry;;Krammer (2016: 122);Miss Babcock journeys to Africa, where she dies of “blackwater fever,” and “was placed […]/ As she had planned […]/ In an ebony coffin/ Ornamented with polished African ivory,/ With the figures of two African witch doctors/ At her head/ And two at her feet.” The image is rich with black and white contrast, but the suggestion is not ethnic and geographic harmony, but separation and difference ;"visual; haptic";;; (her);;;40;25;113;5;6,5;6,546;O2
029;when I am sleeping / I must most perfectly resemble them;"I would rather be horizontal […] The trees and flowers have been strewing their cool odors.
I walk among them, but none of them are noticing.
Sometimes I think that [when I am sleeping /
I must most perfectly resemble them]";;Plath, Sylvia;I am vertical;Poetry;14-15;Elleström (2016: 460);As the narrator states early on, “I would rather be horizontal” and “when I am sleeping / I must most perfectly resemble them” (the trees and flowers). This creates a mental image of a narrator who is resting horizontally, perhaps in “a garden bed,” but the “resemblance” has nothing to do with the visual appearance of the plants.;visual;PF (resemble);"PERSON IS FLOWER; PERSON IS TREE";" (I; them)"; (text-initial);;14;10;45;2;6,8;6,788;S2-L3
030;In the afternoon thin blades of cloud / Move over the mountains;"[In the afternoon thin blades of cloud / Move over the mountains.] / The storm clouds follow them; / Fine rain falls without wind. / The forest is filled with wet resonant silence.";; Rexroth, Kenneth;Falling Leaves and Early Snow;Poetry;18-19;Green (2017: 35);‘Thin blades of cloud’ and ‘wet resonant silence’ will for many of us evoke visual and auditory images respectively. Someone might interpret the latter image by drawing on his background knowledge, gained perhaps from having been told, that a forest in which it has just rained may be very quiet.;"visual; haptic";;CLOUDS ARE BLADES;;;;16;11;51;2;6,8;6,794;W3-O2
031;The forest is filled with wet resonant silence.;"In the afternoon thin blades of cloud / Move over the mountains. / The storm clouds follow them; / 
Fine rain falls without wind. / [The forest is filled with wet resonant silence.]";; Rexroth, Kenneth;Falling Leaves and Early Snow;Poetry;22;Green (2017: 35);‘Thin blades of cloud’ and ‘wet resonant silence’ will for many of us evoke visual and auditory images respectively. Someone might interpret the latter image by drawing on his background knowledge, gained perhaps from having been told, that a forest in which it has just rained may be very quiet.;"visual; auditory; olfactory";;SILENCE IS SOUND;;;;12;8;39;1;6,6;6,633;W3
032;Little gusts of sunshine blew;[Little gusts of sunshine blew], strangely bright, and lit up the celandines at the wood's edge, under the hazel-rods, they spangled out bright and yellow. And the wood was still, stiller, but yet gusty with crossing sun. ;;Lawrence, D. H.;Lady Chatterley's Lover;Prose (Fiction);; Green (2017: 39);D. H. Lawrence in Lady Chatterley’s Lover describes how ‘‘…little gusts of sunshine blew,’’ through a wooded area. The first time you hear Lawrence’s metaphor, you likely need to form a visual image in order to grasp what the narrator might be trying to convey;"visual; auditory";;LIGHT IS WIND;; (paragraph-initial);;;5;25;;6,5;6,5;W4
033;the flame out of the serpent’s mouth ;So comes [the flame out of the serpent’s mouth] / So plucks the bloom, the red-tipped fingered hand;;Bridgewater, E. F.;Closing time;Poetry;1;Stockwell (2017: 32);The violent images (flames and bloodied hands), the sense of an inexorability to history (the clock going round), and the 1940s cultural British positioning (differently, the record-player and the rain) can all be read consistently within this framing.;visual;PF (comes); TONGUE IS FLAME; (the); (text-initial);;8;8;30;1;6,8;6,824;O4.3
034;the red-tipped fingered hand;So comes [the flame out of the serpent’s mouth] / So plucks the bloom, [the red-tipped fingered hand];;Bridgewater, E. F.;Closing time;Poetry;2;Stockwell (2017: 32);The violent images (flames and bloodied hands), the sense of an inexorability to history (the clock going round), and the 1940s cultural British positioning (differently, the record-player and the rain) can all be read consistently within this framing.;visual;; FLOWER IS HAND; (the); (text-initial);;6;5;25;1;6,9;6,912;B1
035;By his face there had grown a twig;His ears twitched and he turned to the tree. [By his face there had grown a twig]: a twig that smelt of other, and of goose, and of the bitter berries that Lok's stomach told him he must not eat;;Golding, William;The Inheritors;Prose (Fiction);;Browse (2018: 138);In ‘by his face there had grown a twig’, the mapping is not between two static images, but two dynamic construals with opposing image- schematic directionality. ;visual;;TWIG IS ARROW; (his);;;;8;27;;6,6;6,6;B1-L3
036;On a leafless bough ;[On a leafless bough] / A crow is perched - / The autumn dusk;;Basho, Matsuo;On a leafless…;Poetry;1;Wilson & Carston (2019: 37);Arguably, as a result of this slower more effortful processing, the sensorimotor simulations triggered by the nominals a leafless bough, a crow, the autumn dusk, and the verb perched are experienced by the reader as visual images, available for mental scrutiny and reflection;visual;;;;;;5;4;16;1;6,6;6,6;L3
037;A crow is perched;On a leafless bough / [A crow is perched] - / The autumn dusk;;Basho, Matsuo;On a leafless…;Poetry;2;Wilson & Carston (2019: 37);Arguably, as a result of this slower more effortful processing, the sensorimotor simulations triggered by the nominals a leafless bough, a crow, the autumn dusk, and the verb perched are experienced by the reader as visual images, available for mental scrutiny and reflection;visual;;;;;;4;4;14;1;6,7;6,727;L2
038;The autumn dusk;On a leafless bough / A crow is perched - / [The autumn dusk];;Basho, Matsuo;On a leafless…;Poetry;3;Wilson & Carston (2019: 37);Arguably, as a result of this slower more effortful processing, the sensorimotor simulations triggered by the nominals a leafless bough, a crow, the autumn dusk, and the verb perched are experienced by the reader as visual images, available for mental scrutiny and reflection;visual;;; (the);;;4;3;13;1;6,2;6,171;T
039;a heron launched itself from low ground to our south, a foldaway construction of struts and canvas, snapping and locking itself into shape just in time to keep airborne;;; MacFarlane, Robert;The Old ways: a Journey on Foot;Prose (Fiction);;Wilson & Carston (2019: 36);The description of the heron in example (2) above also triggers a visual mental image of parts of the heron's body (legs, wings, neck and head) moving into position, somewhat awkwardly but purposefully, as it prepares to take flight. For at least some readers, this image, rather than any implications communicated, may be the most pleasing and memorable effect of the description. ;"visual; auditory";; HERON IS MACHINE; (our);;;;29;140;;6,8;6,778;L2-H1
040;Here you just have to shroud yourself in the landscape;;Qui non resta che cingersi intorno il paesaggio;Zanzotto, Andrea;Ormai;Poetry;8;Cardilli (2020: 171);Here you just have to shroud yourself in the landscape' (Ormai, l. 8): the image could be conceived of as thematizing the procedure of figural fusion: the common and eponym noun landscape gathers the elements of the previous list (and even all those present in the macrotext of the collection). So compressed, the landscape turns into a garment, an anthropic element that is also somehow anthropomorphic;"visual; haptic";;LANDSCAPE IS SHROUD; (here); (text-final);;13;8;40;1;6,2;6,177;W3-B5
041;the marathon runner runs in eternity;[The marathon runner runs in eternity] not to be dead once he will stop the point of arrival will come ;[il maratoneta corre in eterno] per non esser morto quando si fermerà arriverà il punto di arrivo;Bordini, Carlo;Assenza;Poetry;63;Mazzoni (2021: xxv);Among the images that inform this reasoning there is the one of the marathon runner who wants to run forever because the finish line and the party will look trivial to him, compared to the waiting. Shortly before there is a similar image - an insect trapped in the amber, which in theory should only hope to wake up, get out of the resin and come back to life. ;visual;;;;;;11;5;25;1;6,2;6,2;S2
042;like the insect in the amber;everything is over but not everything is over and the present is iced ice [like the insect in the amber];tutto è finito ma tutto non è finito e il presente è ghiaccio ghiacciato [come l'insetto nell'ambra] ;Bordini, Carlo;Assenza;Poetry;58;Mazzoni (2021: xxv);Among the images that inform this reasoning there is the one of the marathon runner who wants to run forever because the finish line and the party will look trivial to him, compared to the waiting. Shortlly before there is a similar image - an insect trapped in the amber, which in theory should only hope to wake up, get out of the resin and come back to life. ;visual;PF (like);PRESENT IS TRAPPED INSECT;;;;8;5;23;1;6,3;6,294;L2
043;His heart danced upon her movements like a cork upon a tide;[His heart danced upon her movements like a cork upon a tide]. He heard what her eyes said to him from beneath their cowl and knew that in some dim past, whether in life or revery, he had heard their tale before.;; Joyce, James;A portrait of the artist as a young man;Prose (Fiction);;Levina (2017: 210-211);"The harmony, in the epiphany played out as the couple’s dance-like interaction, here is encapsulated inthe metaphorical image of Stephen’s heart that “danced upon her movements like a cork upon a tide” (P 69), up and down to mirror the rhythm of the girl’s physical movements. This is also an image of subjective self-
reflection: It focuses our view on Stephen’s sense of himself, as opposed to their commonly performed act.";visual;PF (like);"HEART IS CORK; WOMAN IS TIDE";" (his; her)";;;;8;48;;6,4;6,393;B1-O2
044;a fox terrier scampering to and fro on the sunny lawn;One day he had stood beside her looking into the hotel grounds. A waiter was running up a trail of bunting on the flagstaff and [a fox terrier was scampering to and fro on the sunny lawn]. She had put her hand into his pocket where his hand was and he had felt how cool and thin and soft her hand was.;; Joyce, James;A portrait of the artist as a young man;Prose (Fiction);;Levina (2017: 111);He remembers a day in the past, when he and another girl (Eileen rather than E– C–,with whom he is on the tram) were looking at a “fox terrier scampering to and fro on the sunny lawn” of a hotel, another image of an oscillating movement;visual;PF (looking into);; (the);;;;11;43;;6,8;6,844;L2
045;two gigantically /outrageous /parasitic /health robbers;This week, [two gigantically outrageous parasitic health robbers] were in the news;twee gigantisch /schandalige /parasitaire /zorgrovers;anonymous;news item;Prose (News);;Burgers et al. (2016: 176);"After all, four lexical units are used hyperbolically to create one image (“gigantisch /schandalige /parasitaire /zorgrovers”; “gigantically /outrageous /parasitic /health robbers”).";visual;;HEALTHCARE MANAGERS ARE PARASITES;;;(list of three);;6;47;;6,1;6,147;S2
046;The fringed curtains of thine eye advance;"FERDINAND: The ditty does remember my drowned father. / This is no mortal business, nor no sound / 
That the Earth owes. I hear it now above me. / PROSPERO (to Miranda):  [The fringèd curtains of thine eye advance] / And say what thou seest yond. / MIRANDA:  What is ’t? A spirit? / Lord, how it looks about! Believe me, sir, / It carries a brave form. But ’tis a spirit";;Shakespeare, William ;The Tempest (Act I, Scene II);Drama;405;Richards (2004 [1924]: 105-106);"One of the greatest living critics praises the line: 'The fringed curtain of thine eyes advance',
for the ‘ravishing beauty’ of the visual images excited. ";visual;; EYE IS WINDOW;" (the; thine)";;;10;7;35;1;6,8;6,794;B1-H5
047;we have been able to rise above the brutes;;; Huxley, Aldous;Adonis and the Alphabet ;Prose (Essay);;Verdonk (2013: 142, 156);"The clash of ideas is set forth by the two metaphorical images ‘we have been able to rise above the brutes’ and 
‘we have often sunk to the level of the demons’, which effectively refresh our experience that language can be both a blessing and a curse [...] in the metaphoric images ‘we have been able to rise above the brutes’ and ‘we have often sunk to the level of the demons’, the source domain is people’s everyday physical experience of all kinds of spatial orientations, in this case UP-DOWN. The target domains are abstract concepts like VIRTUE (‘living a decent life’) and DEPRAVITY (‘being cruel and destructive’). ";visual;;; (we);; (parallelism);;9;34;;4,4;4,353;M1
048;we have often sunk to the level of the demons;;; Huxley, Aldous;Adonis and the Alphabet ;Prose (Essay);;Verdonk (2013: 142, 156);"The clash of ideas is set forth by the two metaphorical images ‘we have been able to rise above the brutes’ and 
‘we have often sunk to the level of the demons’, which effectively refresh our experience that language can be both a blessing and a curse [...] in the metaphoric images ‘we have been able to rise above the brutes’ and ‘we have often sunk to the level of the demons’, the source domain is people’s everyday physical experience of all kinds of spatial orientations, in this case UP-DOWN. The target domains are abstract concepts like VIRTUE (‘living a decent life’) and DEPRAVITY (‘being cruel and destructive’). ";visual;;; (we);; (parallelism);;10;36;;5,8;5,75;M1-S9
049;I sit at the edge of the universal ear;"At this age and with the current times / [I sit at the edge of the universal / ear]; I say  'blond, martial blind sky / where time is round: the truth / is a horrible telescope";"A quest’età e con i tempi che corrono, / io [siedo al bordo dell’orecchio / universale]; dico / “biondo, marziale cieco cielo / dove il tempo è rotondo: la verità / è orrendo cannocchiale”.";Annino, Cristina;Caos;Poetry;6;Ortore (2017);si passa dagli stereotipi linguistici (con i tempi che corrono) alla carezza di un'immagine quasi naïve (siedo al bordo dell'orecchio universale);visual;;EAR IS SPACE;" (I; the)";;;12;6;35;2;6,9;6,853;B1
